Program_Name,School,School_Type,Community_Of_Schools,Zip_Code,Dual_Language,Applications,Seat_Offers
City Terrace Elementary DL Two-Way Im Mandarin,City Terrace Elementary,DUAL LANGUAGE (DLC) - ELEM,LNCLN HTS/EL SRNO COS,90063,No,57,0
City Terrace Elementary DL Two-Way Im Mandarin,City Terrace Elementary,DUAL LANGUAGE (DLC) - ELEM,LNCLN HTS/EL SRNO COS,90063,Yes,29,0
Clifford Street Math & Technology Magnet,Clifford Street Math & Technology Magnet,MAGNET-SELF CONTAINED (ELEM),GLSLL/LS FLZ PRK COS,90039,No,130,26
Clifford Street Math & Technology Magnet,Clifford Street Math & Technology Magnet,MAGNET-SELF CONTAINED (ELEM),GLSLL/LS FLZ PRK COS,90039,Yes,6,0
Clover Avenue Elementary,Clover Avenue Elementary,ELEMENTARY SCHOOL,HAMILTON COS,90034,No,145,0
Clover Avenue Elementary,Clover Avenue Elementary,ELEMENTARY SCHOOL,HAMILTON COS,90034,Yes,6,0
Cohasset Street Elementary DL One-Way Im Spanish,Cohasset Street Elementary,DUAL LANGUAGE (DLC) - ELEM,MONROE COS,91406,No,32,4
Cohasset Street Elementary DL One-Way Im Spanish,Cohasset Street Elementary,DUAL LANGUAGE (DLC) - ELEM,MONROE COS,91406,Yes,40,2
Coldwater Canyon DL Two-Way Im Spanish,Coldwater Canyon Elementary,DUAL LANGUAGE (DLC) - ELEM,VAN NUYS/VAL GLN COS,91605,No,16,0
Coldwater Canyon DL Two-Way Im Spanish,Coldwater Canyon Elementary,DUAL LANGUAGE (DLC) - ELEM,VAN NUYS/VAL GLN COS,91605,Yes,21,0
Commonwealth Avenue Elementary Gifted Arts/Tech Magnet,Commonwealth Avenue Elementary,MAGNET CENTER - ELEMENTARY,MACARTHUR PARK COS,90004,No,106,24
Commonwealth Avenue Elementary Gifted Arts/Tech Magnet,Commonwealth Avenue Elementary,MAGNET CENTER - ELEMENTARY,MACARTHUR PARK COS,90004,Yes,4,0
Madison Elementary DL Two-Way Im Spanish,Madison Elementary,DUAL LANGUAGE (DLC) - ELEM,SOUTH GATE COS,90280,No,39,3
Madison Elementary DL Two-Way Im Spanish,Madison Elementary,DUAL LANGUAGE (DLC) - ELEM,SOUTH GATE COS,90280,Yes,57,4
Corona Avenue Elementary,Corona Avenue Elementary,ELEMENTARY SCHOOL,BELL/CUDHY/MAYWD COS,90201,No,8,1
Corona Avenue Elementary,Corona Avenue Elementary,ELEMENTARY SCHOOL,BELL/CUDHY/MAYWD COS,90201,Yes,1,0
Betty Plasencia Elementary STEAM Magnet,Betty Plasencia Elementary,MAGNET CENTER - ELEMENTARY,DOWNTOWN COS,90026,No,174,39
Betty Plasencia Elementary STEAM Magnet,Betty Plasencia Elementary,MAGNET CENTER - ELEMENTARY,DOWNTOWN COS,90026,Yes,13,9
Cowan Avenue Elementary Gifted Int Humanities Magnet,Cowan Avenue Elementary,MAGNET CENTER - ELEMENTARY,WESTCHESTER COS,90045,No,230,30
Cowan Avenue Elementary Gifted Int Humanities Magnet,Cowan Avenue Elementary,MAGNET CENTER - ELEMENTARY,WESTCHESTER COS,90045,Yes,4,0
Cowan Avenue Elementary DL World Lang Im Spanish,Cowan Avenue Elementary,DUAL LANGUAGE (DLC) - ELEM,WESTCHESTER COS,90045,No,100,28
Cowan Avenue Elementary DL World Lang Im Spanish,Cowan Avenue Elementary,DUAL LANGUAGE (DLC) - ELEM,WESTCHESTER COS,90045,Yes,29,5
Crescent Heights Boulevard Elementary Lang Arts/Soc Jstc Mag,Crescent Heights Boulevard Elementary Lang Arts/Soc Jstc Mag,MAGNET-SELF CONTAINED (ELEM),HAMILTON COS,90035,No,205,52
Crescent Heights Boulevard Elementary Lang Arts/Soc Jstc Mag,Crescent Heights Boulevard Elementary Lang Arts/Soc Jstc Mag,MAGNET-SELF CONTAINED (ELEM),HAMILTON COS,90035,Yes,5,2
Crestwood Street Elementary STEAM Magnet,Crestwood Street Elementary STEAM Magnet,MAGNET-SELF CONTAINED (ELEM),SAN PEDRO COS,90275,No,1,0
Westside Global Awareness Magnet,Westside Global Awareness Magnet,MAGNET-SELF CONTAINED (SPAN),VENICE COS,90292,No,491,113
Westside Global Awareness Magnet,Westside Global Awareness Magnet,MAGNET-SELF CONTAINED (SPAN),VENICE COS,90292,Yes,22,5
Dahlia Heights Elementary,Dahlia Heights Elementary,ELEMENTARY SCHOOL,EGL RK/HIGHLD PK COS,90041,No,95,11
Dahlia Heights Elementary,Dahlia Heights Elementary,ELEMENTARY SCHOOL,EGL RK/HIGHLD PK COS,90041,Yes,7,0
Darby Avenue Elementary,Darby Avenue Elementary,ELEMENTARY SCHOOL,KENNDY/NAHS/VAAS COS,91326,No,16,0
Dayton Heights Elementary Urban Env Science Magnet,Dayton Heights Elementary,MAGNET CENTER - ELEMENTARY,GLSLL/LS FLZ PRK COS,90004,No,60,32
