Program_Name,School_Name,School_Type,School_ZipCode,Applicant_ZipCode,Applications_count,Seat_Offers
Amestoy Elementary Multilingual/Multicultural Magnet,Amestoy Elementary,MAGNET CENTER - ELEMENTARY,90247,90034,2,0
Amestoy Elementary Multilingual/Multicultural Magnet,Amestoy Elementary,MAGNET CENTER - ELEMENTARY,90247,90037,1,0
Amestoy Elementary Multilingual/Multicultural Magnet,Amestoy Elementary,MAGNET CENTER - ELEMENTARY,90247,90043,1,1
Amestoy Elementary Multilingual/Multicultural Magnet,Amestoy Elementary,MAGNET CENTER - ELEMENTARY,90247,90044,25,1
Amestoy Elementary Multilingual/Multicultural Magnet,Amestoy Elementary,MAGNET CENTER - ELEMENTARY,90247,90045,2,0
Amestoy Elementary Multilingual/Multicultural Magnet,Amestoy Elementary,MAGNET CENTER - ELEMENTARY,90247,90047,16,3
Amestoy Elementary Multilingual/Multicultural Magnet,Amestoy Elementary,MAGNET CENTER - ELEMENTARY,90247,90059,9,1
Amestoy Elementary Multilingual/Multicultural Magnet,Amestoy Elementary,MAGNET CENTER - ELEMENTARY,90247,90061,12,3
Amestoy Elementary Multilingual/Multicultural Magnet,Amestoy Elementary,MAGNET CENTER - ELEMENTARY,90247,90062,3,2
Amestoy Elementary Multilingual/Multicultural Magnet,Amestoy Elementary,MAGNET CENTER - ELEMENTARY,90247,90066,1,0
Amestoy Elementary Multilingual/Multicultural Magnet,Amestoy Elementary,MAGNET CENTER - ELEMENTARY,90247,90220,1,0
Amestoy Elementary Multilingual/Multicultural Magnet,Amestoy Elementary,MAGNET CENTER - ELEMENTARY,90247,90247,87,20
Amestoy Elementary Multilingual/Multicultural Magnet,Amestoy Elementary,MAGNET CENTER - ELEMENTARY,90247,90248,7,0
Amestoy Elementary Multilingual/Multicultural Magnet,Amestoy Elementary,MAGNET CENTER - ELEMENTARY,90247,90249,13,2
Amestoy Elementary Multilingual/Multicultural Magnet,Amestoy Elementary,MAGNET CENTER - ELEMENTARY,90247,90250,2,0
Amestoy Elementary Multilingual/Multicultural Magnet,Amestoy Elementary,MAGNET CENTER - ELEMENTARY,90247,90270,1,1
Amestoy Elementary Multilingual/Multicultural Magnet,Amestoy Elementary,MAGNET CENTER - ELEMENTARY,90247,90280,2,1
Amestoy Elementary Multilingual/Multicultural Magnet,Amestoy Elementary,MAGNET CENTER - ELEMENTARY,90247,90292,1,0
Amestoy Elementary Multilingual/Multicultural Magnet,Amestoy Elementary,MAGNET CENTER - ELEMENTARY,90247,90303,1,0
Amestoy Elementary Multilingual/Multicultural Magnet,Amestoy Elementary,MAGNET CENTER - ELEMENTARY,90247,90717,3,0
Amestoy Elementary Multilingual/Multicultural Magnet,Amestoy Elementary,MAGNET CENTER - ELEMENTARY,90247,90731,2,0
Amestoy Elementary Multilingual/Multicultural Magnet,Amestoy Elementary,MAGNET CENTER - ELEMENTARY,90247,90744,3,1
Amestoy Elementary Multilingual/Multicultural Magnet,Amestoy Elementary,MAGNET CENTER - ELEMENTARY,90247,90745,5,1
Amestoy Elementary Multilingual/Multicultural Magnet,Amestoy Elementary,MAGNET CENTER - ELEMENTARY,90247,90746,5,1
Amestoy Elementary Multilingual/Multicultural Magnet,Amestoy Elementary,MAGNET CENTER - ELEMENTARY,90247,91040,1,0
Amestoy Elementary Multilingual/Multicultural Magnet,Amestoy Elementary,MAGNET CENTER - ELEMENTARY,90247,91303,1,0
Amestoy Elementary Multilingual/Multicultural Magnet,Amestoy Elementary,MAGNET CENTER - ELEMENTARY,90247,91304,2,1
Amestoy Elementary Multilingual/Multicultural Magnet,Amestoy Elementary,MAGNET CENTER - ELEMENTARY,90247,91306,1,0
Amestoy Elementary Multilingual/Multicultural Magnet,Amestoy Elementary,MAGNET CENTER - ELEMENTARY,90247,91307,1,0
Amestoy Elementary Multilingual/Multicultural Magnet,Amestoy Elementary,MAGNET CENTER - ELEMENTARY,90247,91316,3,0
Amestoy Elementary Multilingual/Multicultural Magnet,Amestoy Elementary,MAGNET CENTER - ELEMENTARY,90247,91326,1,0
Amestoy Elementary Multilingual/Multicultural Magnet,Amestoy Elementary,MAGNET CENTER - ELEMENTARY,90247,91335,5,0
Amestoy Elementary Multilingual/Multicultural Magnet,Amestoy Elementary,MAGNET CENTER - ELEMENTARY,90247,91342,1,0
Amestoy Elementary Multilingual/Multicultural Magnet,Amestoy Elementary,MAGNET CENTER - ELEMENTARY,90247,91343,3,0
Amestoy Elementary Multilingual/Multicultural Magnet,Amestoy Elementary,MAGNET CENTER - ELEMENTARY,90247,91345,1,0
Amestoy Elementary Multilingual/Multicultural Magnet,Amestoy Elementary,MAGNET CENTER - ELEMENTARY,90247,91356,4,2
Amestoy Elementary Multilingual/Multicultural Magnet,Amestoy Elementary,MAGNET CENTER - ELEMENTARY,90247,91401,1,0
Amestoy Elementary Multilingual/Multicultural Magnet,Amestoy Elementary,MAGNET CENTER - ELEMENTARY,90247,91403,1,0
Amestoy Elementary Multilingual/Multicultural Magnet,Amestoy Elementary,MAGNET CENTER - ELEMENTARY,90247,91406,2,0
Amestoy Elementary Multilingual/Multicultural Magnet,Amestoy Elementary,MAGNET CENTER - ELEMENTARY,90247,91604,1,0
Amestoy Elementary Multilingual/Multicultural Magnet,Amestoy Elementary,MAGNET CENTER - ELEMENTARY,90247,91605,3,0
Amestoy Elementary Multilingual/Multicultural Magnet,Amestoy Elementary,MAGNET CENTER - ELEMENTARY,90247,91607,1,0
Andasol Avenue Elementary,Andasol Avenue Elementary,ELEMENTARY SCHOOL,91325,90044,1,0
Andasol Avenue Elementary,Andasol Avenue Elementary,ELEMENTARY SCHOOL,91325,90068,1,0
Andasol Avenue Elementary,Andasol Avenue Elementary,ELEMENTARY SCHOOL,91325,91304,3,0
Andasol Avenue Elementary,Andasol Avenue Elementary,ELEMENTARY SCHOOL,91325,91306,4,0
Andasol Avenue Elementary,Andasol Avenue Elementary,ELEMENTARY SCHOOL,91325,91307,2,0
Andasol Avenue Elementary,Andasol Avenue Elementary,ELEMENTARY SCHOOL,91325,91316,4,1
Andasol Avenue Elementary,Andasol Avenue Elementary,ELEMENTARY SCHOOL,91325,91324,2,0
Andasol Avenue Elementary,Andasol Avenue Elementary,ELEMENTARY SCHOOL,91325,91325,11,1
Andasol Avenue Elementary,Andasol Avenue Elementary,ELEMENTARY SCHOOL,91325,91326,7,0
Andasol Avenue Elementary,Andasol Avenue Elementary,ELEMENTARY SCHOOL,91325,91331,4,0
Andasol Avenue Elementary,Andasol Avenue Elementary,ELEMENTARY SCHOOL,91325,91335,7,0
Andasol Avenue Elementary,Andasol Avenue Elementary,ELEMENTARY SCHOOL,91325,91340,3,0
Andasol Avenue Elementary,Andasol Avenue Elementary,ELEMENTARY SCHOOL,91325,91342,5,1
Andasol Avenue Elementary,Andasol Avenue Elementary,ELEMENTARY SCHOOL,91325,91343,12,2
Andasol Avenue Elementary,Andasol Avenue Elementary,ELEMENTARY SCHOOL,91325,91344,13,0
Andasol Avenue Elementary,Andasol Avenue Elementary,ELEMENTARY SCHOOL,91325,91345,3,1
Andasol Avenue Elementary,Andasol Avenue Elementary,ELEMENTARY SCHOOL,91325,91356,3,0
Andasol Avenue Elementary,Andasol Avenue Elementary,ELEMENTARY SCHOOL,91325,91387,1,0
Andasol Avenue Elementary,Andasol Avenue Elementary,ELEMENTARY SCHOOL,91325,91402,3,1
Andasol Avenue Elementary,Andasol Avenue Elementary,ELEMENTARY SCHOOL,91325,91405,1,0
Andasol Avenue Elementary,Andasol Avenue Elementary,ELEMENTARY SCHOOL,91325,91406,9,1
Andasol Avenue Elementary,Andasol Avenue Elementary,ELEMENTARY SCHOOL,91325,91411,1,0
Andasol Avenue Elementary,Andasol Avenue Elementary,ELEMENTARY SCHOOL,91325,91605,1,0
Angeles Mesa El DREAMS Magnet,Angeles Mesa Elementary,MAGNET CENTER - ELEMENTARY,90043,90001,1,0
Angeles Mesa El DREAMS Magnet,Angeles Mesa Elementary,MAGNET CENTER - ELEMENTARY,90043,90003,3,0
Angeles Mesa El DREAMS Magnet,Angeles Mesa Elementary,MAGNET CENTER - ELEMENTARY,90043,90004,2,0
Angeles Mesa El DREAMS Magnet,Angeles Mesa Elementary,MAGNET CENTER - ELEMENTARY,90043,90008,12,0
Angeles Mesa El DREAMS Magnet,Angeles Mesa Elementary,MAGNET CENTER - ELEMENTARY,90043,90011,4,2
Angeles Mesa El DREAMS Magnet,Angeles Mesa Elementary,MAGNET CENTER - ELEMENTARY,90043,90016,2,0
Angeles Mesa El DREAMS Magnet,Angeles Mesa Elementary,MAGNET CENTER - ELEMENTARY,90043,90018,5,0
